date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:14	171/171	---MC-	200	added ('OK')	text/plain	date:Wed,%2028%20Jun%202023%2012:22:12%20GMT	https://truwellmn.com/robots.txt		(from )
17:22:14	85015/85015	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jun%202023%2012:22:13%20GMT	https://truwellmn.com/	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/index.html	(from )
17:22:16	97517/97517	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2019:23:03%20GMT	https://truwellmn.com/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/wp-includes/css/dist/block-library/style.min3781.css	(from https://truwellmn.com/)
17:22:16	291/291	---M--	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2019:23:03%20GMT	https://truwellmn.com/wp-includes/css/classic-themes.min.css?ver=6.2.2	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/wp-includes/css/classic-themes.min3781.css	(from https://truwellmn.com/)
17:22:16	725/725	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2009%20Mar%202023%2023:30:37%20GMT	https://truwellmn.com/comments/feed/	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/comments/feed/index.html	(from https://truwellmn.com/)
17:22:16	1045/1045	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2009%20Mar%202023%2023:30:37%20GMT	https://truwellmn.com/feed/	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/feed/index.html	(from https://truwellmn.com/)
17:22:17	718/718	---MC-	200	added ('OK')	application/rss+xml	date:Thu,%2009%20Mar%202023%2023:30:37%20GMT	https://truwellmn.com/home/feed/	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/home/feed/index.html	(from https://truwellmn.com/)
17:22:17	5745/5745	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2019:15:36%20GMT	https://truwellmn.com/wp-content/themes/hello-elementor/style.min.css?ver=2.7.1	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/wp-content/themes/hello-elementor/style.min653d.css	(from https://truwellmn.com/)
17:22:17	12285/12285	---M--	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2019:15:36%20GMT	https://truwellmn.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.7.1	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/wp-content/themes/hello-elementor/theme.min653d.css	(from https://truwellmn.com/)
17:22:17	525857/525857	---M--	200	added ('OK')	image/jpeg	date:Fri,%2005%20Aug%202022%2017:00:23%20GMT	https://truwellmn.com/wp-content/uploads/2022/08/hh2.jpg	C:/My%20Web%20Sites/truwellmn.com/truwellmn.com/wp-content/uploads/2022/08/hh2.jpg	(from https://truwellmn.com/)
